fuel,wb,length,weight,size,system,bore,CR,hp,city_mpg,highway_mpg,price
gas,88.6,168.8,2548,130,mpfi,3.47,9,111,21,27,13495
gas,88.6,168.8,2548,130,mpfi,3.47,9,111,21,27,16500
gas,94.5,171.2,2823,152,mpfi,2.68,9,154,19,26,16500
gas,99.8,176.6,2337,109,mpfi,3.19,10,102,24,30,13950
gas,99.4,176.6,2824,136,mpfi,3.19,8,115,18,22,17450
gas,99.8,177.3,2507,136,mpfi,3.19,8,110,19,25,15250
gas,105.8,192.7,2844,136,mpfi,3.19,8,110,19,25,17710
gas,105.8,192.7,2954,136,mpfi,3.19,8,110,19,25,18920
gas,105.8,192.7,3086,131,mpfi,3.13,8,140,17,20,23875
gas,101.2,176.8,2395,108,mpfi,3.5,8,101,23,29,16430
gas,101.2,176.8,2395,108,mpfi,3.5,8,101,23,29,16925
gas,101.2,176.8,2710,164,mpfi,3.31,9,121,21,28,20970
gas,101.2,176.8,2765,164,mpfi,3.31,9,121,21,28,21105
gas,103.5,189,3055,164,mpfi,3.31,9,121,20,25,24565
gas,103.5,189,3230,209,mpfi,3.62,8,182,16,22,30760
gas,103.5,193.8,3380,209,mpfi,3.62,8,182,16,22,41315
gas,110,197,3505,209,mpfi,3.62,8,182,15,20,36880
gas,88.4,141.1,1488,61,2bbl,2.91,9,48,47,53,5151
gas,94.5,155.9,1874,90,2bbl,3.03,9,70,38,43,6295
gas,94.5,158.8,1909,90,2bbl,3.03,9,70,38,43,6575
gas,93.7,157.3,1876,90,2bbl,2.97,9,68,37,41,5572
gas,93.7,157.3,1876,90,2bbl,2.97,9,68,31,38,6377
gas,93.7,157.3,2128,98,mpfi,3.03,7,102,24,30,7957
gas,93.7,157.3,1967,90,2bbl,2.97,9,68,31,38,6229
gas,93.7,157.3,1989,90,2bbl,2.97,9,68,31,38,6692
gas,93.7,157.3,1989,90,2bbl,2.97,9,68,31,38,7609
gas,103.3,174.6,2535,122,2bbl,3.34,8,88,24,30,8921
gas,95.9,173.2,2811,156,mfi,3.6,7,145,19,24,12964
gas,86.6,144.6,1713,92,1bbl,2.91,9,58,49,54,6479
gas,86.6,144.6,1819,92,1bbl,2.91,9,76,31,38,6855
gas,93.7,150,1837,79,1bbl,2.91,10,60,38,42,5399
gas,93.7,150,1940,92,1bbl,2.91,9,76,30,34,6529
gas,93.7,150,1956,92,1bbl,2.91,9,76,30,34,7129
gas,96.5,163.4,2010,92,1bbl,2.91,9,76,30,34,7295
gas,96.5,157.1,2024,92,1bbl,2.92,9,76,30,34,7295
gas,96.5,167.5,2236,110,1bbl,3.15,9,86,27,33,7895
gas,96.5,167.5,2289,110,1bbl,3.15,9,86,27,33,9095
gas,96.5,175.4,2304,110,1bbl,3.15,9,86,27,33,8845
gas,96.5,175.4,2372,110,1bbl,3.15,9,86,27,33,10295
gas,96.5,175.4,2465,110,mpfi,3.15,9,101,24,28,12945
gas,96.5,169.1,2293,110,2bbl,3.15,9,100,25,31,10345
gas,94.3,170.7,2337,111,2bbl,3.31,8,78,24,29,6785
gas,96,172.6,2734,119,spfi,3.43,9,90,24,29,11048
gas,113,199.6,4066,258,mpfi,3.63,8,176,15,19,32250
gas,113,199.6,4066,258,mpfi,3.63,8,176,15,19,35550
gas,102,191.7,3950,326,mpfi,3.54,11,262,13,17,36000
gas,93.1,159.1,1890,91,2bbl,3.03,9,68,30,31,5195
gas,93.1,159.1,1900,91,2bbl,3.03,9,68,31,38,6095
